"You created the order.","La commande a été créée."
"Order saving error: %1","Erreur lors de la sauvegarde de la commande : %1"
"Please choose a payment method.","Veuillez sélectionner une méthode de paiement."
"Cannot place order.","Impossible de passer votre commande."
"Credit Card: xxxx-%1","Numéro de carte bancaire : xxxx-%1"
"amount %1","montant %1"
failed.,échoué.
successful.,réussi.
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1."
authorize,autoriser
"authorize and capture","autoriser et collecter"
capture,collecter
refund,rembourser
void,annulé
"Gateway error: %1","Erreur de la passerelle : %1"
"Something went wrong in the payment gateway.","Une erreur s'est produite sur la passerelle de paiement."
"Invalid amount for capture.","Montant de collecte invalide."
"Payment capturing error.","Erreur de collecte de paiement."
"Invalid transaction ID.","Identifiant de transaction invalide."
"Payment voiding error.","Erreur lors de l'annulation de paiement."
"Invalid amount for refund.","Montant invalide pour le remboursement."
"Payment refunding error.","Erreur de remboursement du paiement."
"The transaction was declined because the response hash validation failed.","La transaction a été refusée parce que la réponse de validation du hachage a échoué."
"There was a payment authorization error.","Il y a une erreur sur l'autorisation du paiement."
"Please enter a transaction ID to authorize this payment.","Veuillez entrer un ID de transaction pour autoriser ce paiement."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 a été approuvé. Montant %2. Le statut de la transaction est ""3%"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 a été annulée/refusée. Le status de la transaction est ""%2"". Montant %3."
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et collecte"
"Unable to get transaction details. Try again later.","Impossible d'obtenir les détails de la transaction. Veuillez réessayer plus tard."
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte bancaire"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Fraud Detection ","Détection de fraude "
"FDS Filter Action","Filtre d'action FDS (Suite de détection de fraude)"
"AVS Response","Réponse AVS (Système de vérification d'adresse)"
"Card Code Response","Réponse du code carte"
"CAVV Response","Réponse CAVV (Vérification de la valeur d'authentification du titulaire de la carte)"
"Fraud Filters","Filtres de fraude"
"Authorize.net Direct Post","Soumission directe Authorize.net"
"Payment Action","Action de paiement"
"API Login ID","ID de connexion de l'API"
"Transaction Key","Clé de la transaction"
"Merchant MD5","MD5 du commerçant"
"Test Mode","Mode test"
"Gateway URL","URL de passerelle"
"Transaction Details URL","Détails de la transaction URL"
"Accepted Currency","Devise acceptée"
Debug,Déboguage
"Email Customer","Envoyer un e-mail au client"
"Merchant's Email","E-mail du commerçant"
"Credit Card Types","Types de cartes bancaire"
"Credit Card Verification","Vérification de la carte bancaire"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Minimum Order Total","Montant mini de commande"
"Maximum Order Total","Montant maxi de commande"
