Country,Pays
"Allowed Credit Card Types","Types de cartes de crédit autorisées"
"Add Rule","Ajouter un règle"
Month,Mois
Year,Année
"Stored Card","Carte bancaire stockée"
"Credit card successfully added","Carte bancaire ajouté avec succès"
"Something went wrong while saving the card.","Une erreur s'est produite lors de l'enregistrement de la carte."
"Credit card does not exist","Carte bancaire non existante"
"Delete Credit Card","Supprimer la carte bancaire"
"There was error deleting the credit card","Il y a eu une erreur lors de la suppression de la carte bancaire"
"Credit card successfully deleted","Carte bancaire supprimé avec succès"
"Edit Credit Card","Modifier la carte bancaire"
"My Credit Cards","Mes cartes bancaires"
"New Credit Card","Nouvelle carte bancaire"
"There was error during saving card data","Il y avait une erreur lors de la sauvegarde des données de(s) carte(s)"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Incorrect payment method.","Méthode de paiement incorrecte."
"The processor declined your transaction, please re-enter your payment information","Le processus a refusé votre transaction, veuillez entrer de nouveau vos informations de paiement"
"Transaction declined by gateway: Check card details or try another card","Transaction refusée par la passerelle: Voir détails de la carte ou essayez une autre carte"
"Transaction declined: ","Transaction refusée : "
.,.
"The processor responded with an unknown error","Le processus a répondu avec une erreur inconnue"
"Credit card type is not allowed for your country.","Type de carte bancaire non autorisés pour votre pays."
"Credit card type is not allowed for this payment method.","Type de carte bancaire non autorisée pour cette méthode de paiement."
"Selected payment type is not allowed for billing country.","Le type de paiement sélectionnée n'est pas autorisé pour ce pays en facturation."
"Incomplete payment information.","Informations de paiement incomplet."
"Please try again later","Veuillez réessayer plus tard"
"Can not find original authorization transaction for partial capture","Impossible de trouver la transaction autorisé initialement pour la capture partielle"
"There was an error capturing the transaction: %1.","Erreur capture de la transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","Ce remboursement est pour un montant partiel, mais la transaction n'a pas établi."
"Please wait 24 hours before trying to issue a partial refund.","Veuillez attendre 24 heures avant d'essayer de délivrer un remboursement partiel."
"There was an error refunding the transaction: %1.","Il y a eu une erreur de remboursement de la transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Certaines transactions sont déjà remboursés ou annulés et ne peut être annulée."
"Voided capture.","Capture annulé."
"There was an error voiding the transaction: %1.","Il y a eu une erreur annulant la transaction: %1."
Invoice,"Facture d'achat"
Shipment,Expédition
Authorize,Autoriser
"--Please Select--","--Veuillez choisir--"
"Invalid Customer ID provided","ID de client fourni invalide"
"some error","une erreur"
"a,b,c","a,b,c"
"Something went wrong while processing.","Une erreur s'est produite lors du traitement."
error,erreur
exception,exception
"Payment Information","Informations de paiement"
"Add new card","Ajouter nouvelle carte"
"Please Select","Veuillez sélectionner"
"Save this card for future use","Enregistrer cette carte pour une utilisation future"
or,ou
"Please confirm that you want to delete this credit card","Veuillez confirmer que vous souhaitez supprimer cette carte de crédit"
"Cardholder Name","Nom du titulaire"
"* Required Fields","* Champs obligatoires"
"Credit Card","Carte bancaire"
CVV,CVV
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Make Default","Créer par défaut"
"Billing Address","Adresse de facturation"
Company,Société
Address,Adresse
City,Ville
State/Province,État/Région
"Please select region, state or province","Veuillez choisir votre région, état ou département"
"Zip/Postal Code","Code postal"
"Add Credit Card","Ajouter une carte bancaire"
Type,Type
"Card Number","Numéro de carte"
"Is Default","Valeur par défaut"
Edit,Modifier
Braintree,"Braintree (mobile)"
&nbsp;,&nbsp;
"Enable this Solution","Activez cette Solution"
"Enable PayPal through Braintree","Activer PayPal through Braintree"
"Basic Braintree Settings","Réglages de base Braintree"
Environment,Environnement
"Merchant Account ID","Compte Marchand ID"
"Merchant ID","ID de marchand"
"Public Key","Clé publique"
"Private Key","Clé privée"
"Advanced Braintree Settings","Paramètres avancés Braintree"
"Capture action","Action de capture"
"Use Vault","Utiliser Vault (App°"
"Allow Duplicate Cards","Permettre de dupliquer les cartes"
"CVV Verification","Vérification CVV"
"Enable Credit Card auto-detection on Storefront","Activer  l'auto-détection de carte bancaire sur la vue magasin"
"Advanced Fraud Protection","Protection contre la fraude Avancée"
"Your Kount ID","Votre compte ID"
"Use Cache","Utiliser le cache"
"Country Specific Settings","Paramètres spécifiques Pays"
"Country Specific Credit Card Types","Types de cartes bancaire spécifique pays"
"PayPal through Braintree","PayPal through Braintree"
"Override Merchant Name","Remplacement du Nom Marchand"
"Display on Shopping Cart","Affichage sur le Panier"
"Require Customer's Billing Address","Nécessite l'adresse de facturation du client"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permet la modification de l'adresse de livraison entré au cours de Checkout du côté de PayPal"
"3D Secure Verification Settings","Réglages Vérification 3D Secure"
"3D Secure Verification","Vérification 3D Secure"
"Edit My Credit Cards","Modifier mes cartes de crédit"
