"Please choose a condition to add.","Veuillez choisir une condition à ajouter."
"Add to Cart","Ajouter au panier"
"Add to Wish List","Ajouter à la liste d'envies"
"Add to Compare","Ajouter au comparateur"
"Catalog Products List","Liste du catalogue produits"
"List of Products","Liste des produits"
"Display Page Control","Contrôle de l'affichage de la page"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Products Grid Template","Template de la grille de produits"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 par défaut, si non renseigné. Pour actualiser instantanément, purgez le cache des Blocs HTML de sortie."
