"Write Us",Contactez-nous
"Jot us a note and we’ll get back to you as quickly as possible.","N\'hésitez pas à nous contacter, nous vous répondrons au plus vite."
"Phone Number","Numéro de téléphone"
"What’s on your mind?","Comment pouvons-nous vous aider ?"
"Name: %name","Nom : %name"
"Email: %email","E-mail : %e-mail"
"Phone Number: %telephone","N° de téléphone : %telephone"
"Comment: %comment","Message : %comment"
Contacts,Contacts
"Contact Us",Contactez-nous
"Enable Contact Us","Activer la page Contactez-nous"
"Email Options","Options de mail"
"Send Emails To","Envoyer les mails à"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
