"Add New Template","Ajouter un nouveau gabarit"
"Transactional Emails","E-mails transactionnels"
"Delete Template","Supprimer le gabarit"
"Convert to Plain Text","Convertir en texte simple"
"Return Html Version","Revenir à la version HTML"
"Preview Template","Prévisualiser le gabarit"
"Save Template","Enregistrer le gabarit"
"Load Template","Charger le gabarit"
"Edit Email Template","Modifier le gabarit d'e-mail"
"New Email Template","Nouveau gabarit d'e-mail"
"Template Information","Informations gabarit"
"Currently Used For","Actuellement utilisé pour"
"Template Name","Nom du gabarit"
"Template Subject","Sujet du gabarit"
"Insert Variable...","Insérer une variable..."
"Template Content","Contenu du gabarit"
"Template Styles","Styles de gabarit"
"You deleted the email template.","Le gabarit d'e-mail a été supprimé."
"The email template is currently being used.","Le gabarit d'e-mail est actuellement utilisé."
"Edit Template","Modifier le gabarit"
"Edit System Template","Modifier le gabarit système"
"New Template","Nouveau gabarit"
"New System Template","Nouveau gabarit système"
"Email Templates","Gabarits d'e-mail"
"Email Preview","Prévisualisation de l'e-mail"
"An error occurred. The email template can not be opened for preview.","Une erreur s'esr produite. Le gabarit d'e-mail ne peut pas être ouvert pour l'aperçu."
"This email template no longer exists.","Ce gabarit d'e-mail n'existe plus."
"You saved the email template.","Gabarit d'e-mail enregistré."
"Area is already set","La zone est déjà initialisée"
"Design config must have area and store.","La configuration du design doit avoir une zone et un magasin."
"Base Unsecure URL","URL de base non sécurisée"
"Base Secure URL","URL de base sécurisée"
"General Contact Name","Nom du contact général"
"General Contact Email","E-mail du contact général"
"Sales Representative Contact Name","Nom du contact représentant des ventes"
"Sales Representative Contact Email","E-mail du contact représentant des ventes"
"Custom1 Contact Name","Nom du contact personnalisé 1"
"Custom1 Contact Email","E-mail du contact personnalisé 1"
"Custom2 Contact Name","Nom du contact personnalisé 2"
"Custom2 Contact Email","E-mail du contact personnalisé 2"
"Store Name","Nom du magasin"
"Store Phone Number","N° de téléphone du magasin"
"Store Hours","Heures d'ouverture"
Region/State,Région/État
"Street Address 1",Adresse
"Street Address 2","Complément d'adresse"
"Store Contact Information","Informations de contact du magasin"
%1,%1
"Template Variables","Variables de gabarit"
"Please enter a template name.","Veuillez renseigner un nom de gabarit."
"Duplicate Of Template Name","Duplication du nom de gabarit"
"Invalid transactional email code: %1","Le code d'e-mail transactionnel ""%1"" est invalide"
"Requested invalid store ""%1""","Le magasin demandé ""%1"" est invalide"
"""file"" parameter must be specified","le paramètre ""file"" doit être renseigné"
"Contents of %s could not be loaded or is empty","Le contenu de %s ne peut pas être chargé ou est vide"
"""file"" parameter must be specified and must not be empty","Le paramètre ""file"" doit être renseigné et ne peut pas être vide"
"Design params must be set before calling this method","Les paramètres du design doivent être initialisés avant d'appeler cette méthode"
"<pre> %1 </pre>",<pre>%1</pre>
"CSS inlining error:","Erreur sur le CSS en ligne : "
"Error filtering template: %s","Erreur lors du traitement du gabarit : %s"
"Invalid sender data","Données de l'expéditeur invalide"
"Load default template","Charger le gabarit par défaut"
Template,Gabarit
"Are you sure you want to strip tags?","Êtes-vous sûr de vouloir supprimer les balises HTML ?"
"Are you sure you want to delete this template?","Êtes-vous sûr de vouloir supprimer ce gabarit ?"
"The template did not load. Please review the log for details.","Impossible de charger le gabarit. Veuillez consulter le journal des erreurs pour plus de détails."
"Thank you, %store_name","Merci, %store_name"
Emails,E-mails
"Logo Image","Image du logo"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Types de fichiers autorisés: JPG, JPEG, GIF, PNG. Pour optimiser le logo pour des écrans haute résolution, télécharger une image 3 fois plus grande que la taille normal, puis spécifier les dimensions de la taille normale dans les champs ""Largeur"" et ""Hauteur"" ci-dessous."
"Logo Image Alt","Texte alternatif de l'image du logo"
"Logo Width","Largeur du logo"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Seulement nécessaire si une image est fournie. Renseignez la valeur en pixel, sans ajouter l'unité ""px""."
"Logo Height","Hauteur du logo"
"Header Template","Gabarit de l'en-tête"
"Footer Template","Gabarit du pied de page"
