"Export VCL for Varnish ","Exporter le VLC pour Varnish "
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","La valeur du TTL ""%1"" est invalide. Veuillez de saisir un nombre supérieur ou égal à 0."
"Built-in Application (Not Recommended for Production Use)","Système intégré (Non recommandé pour une utilisation en production)"
"Varnish Caching","Cache Varnish"
"Full Page Cache","Cache des pages"
"Caching Application","Application de cache"
"Varnish Configuration","Configuration de Varnish"
"Access list","Liste d'accès"
"Backend host","Hôte du backend"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Spécifiez l'hôte du backend pour la génération du fichier de configuration. Si ce champ est vide la valeur par défaut ""localhost"" sera utilisée."
"Backend port","Port du backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Spécifiez le port du backend pour la génération du fichier de configuration. Si ce champ est vide la valeur par défaut ""8080"" sera utilisée."
"TTL for public content","TTL pour les contenus publiques"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved. ","Durée de vie du cache en secondes des contenus publiques. Si ce champ est vide la valeur par défaut ""86400"" sera utilisée. "
"Page Cache","Cache de page"
"Full page caching.","Cache des pages."
