"We cannot retrieve the payment method model object.","Impossible de retrouver le modèle de l\'objet de la méthode de paiement."
"We cannot retrieve the payment info model object.","Impossible de retrouver le modèle de l\'objet des infos du paiement."
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Impossible de retourver le modèle de l\'objet le la méthode de paiement transparente."
"Command %1 does not exist.","La commande %1 n\'existe pas."
"Wrong gateway response format.","Mauvais format de réponse de la passerelle."
"Validator for field %1 does not exist.","Le validateur pour le champ %1 n\'existe pas."
Discount,Remise
"All Allowed Countries","Tous les pays autorisés"
"Specific Countries","Certains pays"
"The payment method you requested is not available.","La méthode de paiement demandée n\'est pas disponible."
"The payment disallows storing objects.","Cette méthode de paiement interdit le stockage d\'objets."
"We cannot retrieve the payment method code.","Impossible de retrouver le code de la méthode de paiement."
"We cannot retrieve the payment information object instance.","Impossible de retrouver l\'intance de l\'objet de l\'information de paiement."
"The order action is not available.","L\'action de commande n\'est pas disponible."
"The authorize action is not available.","L\'action d\'autorisation n\'est pas disponible."
"The capture action is not available.","L\'action de capture n\'est pas disponible."
"The refund action is not available.","L\'action de remboursement n\'est pas disponible."
"The void action is not available.","L\'action d\'annulation n\'est pas disponible."
"The payment review action is unavailable.","L\'action de commentaire de paiement n\'est pas disponible."
"Invalid Credit Card Number","Numéro de carte bancaire invalide"
"This credit card type is not allowed for this payment method.","Ce type de carte de crédit n\'est pas autorisé pour ce mode de paiement."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid credit card expiration date.","Veuillez vérifier la date d\'expiration de la carte bancaire."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Issue Number","Numéro de problème"
"Start Date","Date de début"
" is not available. You still can process offline actions."," n\'est pas disponible. Vous pourrez toujours effectuer ces actions hors ligne."
"Credit Card Information","Information de carte bancaire"
"Payment Methods","Modes de paiement"
