"Widget Insertion","Insertion de widget"
"Insert Widget","Insérer un widget"
Choose...,Choisir...
"Not Selected","Non sélectionné"
Widget,Widget
"Widget Type","Type de widget"
"Manage Widget Instances","Gérer les instances de widgets"
"Add Widget","Ajouter un widget"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nouvelle instance de widget"
"Custom Layouts","Mises en page personnalisées"
"Page Layouts","Mises en page"
"Please Select Container First","Veuillez sélectionner le conteneur en premier"
"Design Package/Theme","Interface/Thème de design"
"Widget Title","Titre du widget"
"Assign to Store Views","Assigner à la vue magasin"
"Sort Order of widget instances in the same container","Ordre de tri des instances de widget dans un même conteneur"
"Layout Updates","Mises à jour d\'agencements"
"Anchor Categories","Catégorie ancrée"
"Non-Anchor Categories","Catégories non ancrées"
"All Product Types","Tous les types de produits"
"Generic Pages","Pages génériques"
"All Pages","Toutes les pages"
"Specified Page","Page spécifiée"
"Add Layout Update","Ajouter une mise à jour d\'agencement"
"Remove Layout Update","Supprimer la mise à jour d\'agencement"
"Widget Options","Options du widget"
Settings,Paramétrage
"Please specify a Widget Type.","Veuillez spécifier un type de widget."
"Please specify a correct widget.","Veuillez spécifier un widget valide."
"The widget instance has been deleted.","L\'instance de widget a bien été effacée."
"New Widget","Nouveau widget"
Widgets,Widgets
"The widget instance has been saved.","L\'instance de widget a bien été enregistrée."
description,description
"We cannot create the widget instance because it is missing required information.","Impossible de créer l\'instance du widget car il manque des informations requises."
Container,Container
"Specific %1","Spécifique à %1"
"Display a Link to Loading a Spreadsheet","Afficher un lien pour charger une feuille de calcul"
"Defines whether a link to My Account","Détermine l\'affichage d\'un lien vers ""Mon Compte"""
"Link Text","Texte du lien"
"The text of the link to the My Account &gt; Order by SKU page","Le texte du lien ""Mon Compte"" &gt; ""Commande par SKU"""
"Load a list of SKUs","Charge une liste de SKUs"
"Widget ID","ID de widget"
